level_0,index,SVM,direction,category,level,mean,dist,filename
0,0,clean,1,clean,0,1,1,./../primate_robustness_mess/PrimateVisionRobustness/Data/Robustness/Original images/Clean hf source/000203.jpg
1,1,clean,1,clean,0,1,1,./../primate_robustness_mess/PrimateVisionRobustness/Data/Robustness/Original images/Clean hf source/000129.jpg
2,2,clean,1,clean,0,1,1,./../primate_robustness_mess/PrimateVisionRobustness/Data/Robustness/Original images/Clean hf source/people_08.jpg
3,3,clean,1,clean,0,1,1,./../primate_robustness_mess/PrimateVisionRobustness/Data/Robustness/Original images/Clean hf source/000114.jpg
4,4,clean,1,clean,0,1,1,./../primate_robustness_mess/PrimateVisionRobustness/Data/Robustness/Original images/Clean hf source/UFH_169.jpg
5,5,clean,1,clean,0,1,1,./../primate_robustness_mess/PrimateVisionRobustness/Data/Robustness/Original images/Clean hf source/UFH_138.jpg
6,6,clean,1,clean,0,1,1,./../primate_robustness_mess/PrimateVisionRobustness/Data/Robustness/Original images/Clean hf source/zzAberdeen_12.jpg
7,7,clean,1,clean,0,1,1,./../primate_robustness_mess/PrimateVisionRobustness/Data/Robustness/Original images/Clean hf source/000207.jpg
8,8,clean,1,clean,0,1,1,./../primate_robustness_mess/PrimateVisionRobustness/Data/Robustness/Original images/Clean hf source/000107.jpg
9,9,clean,1,clean,0,1,1,./../primate_robustness_mess/PrimateVisionRobustness/Data/Robustness/Original images/Clean hf source/000123.jpg
10,10,clean,1,clean,0,1,1,./../primate_robustness_mess/PrimateVisionRobustness/Data/Robustness/Original images/Clean hf source/000045.jpg
11,11,clean,1,clean,0,1,1,./../primate_robustness_mess/PrimateVisionRobustness/Data/Robustness/Original images/Clean hf source/UFH_133.jpg
12,12,clean,1,clean,0,1,1,./../primate_robustness_mess/PrimateVisionRobustness/Data/Robustness/Original images/Clean hf source/UFH_140.jpg
13,13,clean,1,clean,0,1,1,./../primate_robustness_mess/PrimateVisionRobustness/Data/Robustness/Original images/Clean hf source/zzAberdeen_07.jpg
14,14,clean,1,clean,0,1,1,./../primate_robustness_mess/PrimateVisionRobustness/Data/Robustness/Original images/Clean hf source/000215.jpg
15,15,clean,1,clean,0,1,1,./../primate_robustness_mess/PrimateVisionRobustness/Data/Robustness/Original images/Clean hf source/magazinecovers_13.jpg
16,16,clean,1,clean,0,1,1,./../primate_robustness_mess/PrimateVisionRobustness/Data/Robustness/Original images/Clean hf source/000122.jpg
17,17,clean,1,clean,0,1,1,./../primate_robustness_mess/PrimateVisionRobustness/Data/Robustness/Original images/Clean hf source/000076.jpg
18,18,clean,1,clean,0,1,1,./../primate_robustness_mess/PrimateVisionRobustness/Data/Robustness/Original images/Clean hf source/000209.jpg
19,19,clean,1,clean,0,1,1,./../primate_robustness_mess/PrimateVisionRobustness/Data/Robustness/Original images/Clean hf source/000111.jpg
20,20,clean,1,clean,0,1,1,./../primate_robustness_mess/PrimateVisionRobustness/Data/Robustness/Original images/Clean hf source/UFH_158.jpg
21,21,clean,1,clean,0,1,1,./../primate_robustness_mess/PrimateVisionRobustness/Data/Robustness/Original images/Clean hf source/zzAberdeen_24.jpg
22,22,clean,1,clean,0,1,1,./../primate_robustness_mess/PrimateVisionRobustness/Data/Robustness/Original images/Clean hf source/UFH_080.jpg
23,23,clean,1,clean,0,1,1,./../primate_robustness_mess/PrimateVisionRobustness/Data/Robustness/Original images/Clean hf source/UFH_142.jpg
24,24,clean,1,clean,0,1,1,./../primate_robustness_mess/PrimateVisionRobustness/Data/Robustness/Original images/Clean hf source/UFH_145.jpg
25,25,clean,1,clean,0,1,1,./../primate_robustness_mess/PrimateVisionRobustness/Data/Robustness/Original images/Clean hf source/000179.jpg
26,26,clean,1,clean,0,1,1,./../primate_robustness_mess/PrimateVisionRobustness/Data/Robustness/Original images/Clean hf source/UFH_148.jpg
27,27,clean,1,clean,0,1,1,./../primate_robustness_mess/PrimateVisionRobustness/Data/Robustness/Original images/Clean hf source/000157.jpg
28,28,clean,1,clean,0,1,1,./../primate_robustness_mess/PrimateVisionRobustness/Data/Robustness/Original images/Clean hf source/000072.jpg
29,29,clean,1,clean,0,1,1,./../primate_robustness_mess/PrimateVisionRobustness/Data/Robustness/Original images/Clean hf source/000078.jpg
30,30,clean,1,clean,0,1,1,./../primate_robustness_mess/PrimateVisionRobustness/Data/Robustness/Original images/Clean hf source/000028.jpg
31,31,clean,1,clean,0,1,1,./../primate_robustness_mess/PrimateVisionRobustness/Data/Robustness/Original images/Clean hf source/000133.jpg
32,32,clean,1,clean,0,1,1,./../primate_robustness_mess/PrimateVisionRobustness/Data/Robustness/Original images/Clean hf source/000213.jpg
33,33,clean,1,clean,0,1,1,./../primate_robustness_mess/PrimateVisionRobustness/Data/Robustness/Original images/Clean hf source/000033.jpg
34,34,clean,1,clean,0,1,1,./../primate_robustness_mess/PrimateVisionRobustness/Data/Robustness/Original images/Clean hf source/zzAberdeen_15.jpg
35,35,clean,1,clean,0,1,1,./../primate_robustness_mess/PrimateVisionRobustness/Data/Robustness/Original images/Clean hf source/UFH_187.jpg
36,36,clean,1,clean,0,1,1,./../primate_robustness_mess/PrimateVisionRobustness/Data/Robustness/Original images/Clean hf source/UFH_011.jpg
37,37,clean,1,clean,0,1,1,./../primate_robustness_mess/PrimateVisionRobustness/Data/Robustness/Original images/Clean hf source/UFH_098.jpg
38,38,clean,1,clean,0,1,1,./../primate_robustness_mess/PrimateVisionRobustness/Data/Robustness/Original images/Clean hf source/humanfaces_08.jpg
39,39,clean,1,clean,0,1,1,./../primate_robustness_mess/PrimateVisionRobustness/Data/Robustness/Original images/Clean hf source/000142.jpg
40,40,clean,1,clean,0,1,1,./../primate_robustness_mess/PrimateVisionRobustness/Data/Robustness/Original images/Clean hf source/000121.jpg
41,41,clean,1,clean,0,1,1,./../primate_robustness_mess/PrimateVisionRobustness/Data/Robustness/Original images/Clean hf source/FH_198.jpg
42,42,clean,1,clean,0,1,1,./../primate_robustness_mess/PrimateVisionRobustness/Data/Robustness/Original images/Clean hf source/zzAberdeen_05.jpg
43,43,clean,1,clean,0,1,1,./../primate_robustness_mess/PrimateVisionRobustness/Data/Robustness/Original images/Clean hf source/UFH_055.jpg
44,44,clean,1,clean,0,1,1,./../primate_robustness_mess/PrimateVisionRobustness/Data/Robustness/Original images/Clean hf source/000046.jpg
45,45,clean,1,clean,0,1,1,./../primate_robustness_mess/PrimateVisionRobustness/Data/Robustness/Original images/Clean hf source/UFH_132.jpg
46,46,clean,1,clean,0,1,1,./../primate_robustness_mess/PrimateVisionRobustness/Data/Robustness/Original images/Clean hf source/000052.jpg
47,47,clean,1,clean,0,1,1,./../primate_robustness_mess/PrimateVisionRobustness/Data/Robustness/Original images/Clean hf source/UFH_053.jpg
48,48,clean,1,clean,0,1,1,./../primate_robustness_mess/PrimateVisionRobustness/Data/Robustness/Original images/Clean hf source/000205.jpg
49,49,clean,1,clean,0,1,1,./../primate_robustness_mess/PrimateVisionRobustness/Data/Robustness/Original images/Clean hf source/UFH_050.jpg
50,50,clean,1,clean,0,1,1,./../primate_robustness_mess/PrimateVisionRobustness/Data/Robustness/Original images/Clean hf source/UFH_188.jpg
51,51,clean,1,clean,0,1,1,./../primate_robustness_mess/PrimateVisionRobustness/Data/Robustness/Original images/Clean hf source/UFH_161.jpg
52,52,clean,1,clean,0,1,1,./../primate_robustness_mess/PrimateVisionRobustness/Data/Robustness/Original images/Clean hf source/000125.jpg
53,53,clean,1,clean,0,1,1,./../primate_robustness_mess/PrimateVisionRobustness/Data/Robustness/Original images/Clean hf source/UFH_002.jpg
54,54,clean,1,clean,0,1,1,./../primate_robustness_mess/PrimateVisionRobustness/Data/Robustness/Original images/Clean hf source/000130.jpg
55,55,clean,1,clean,0,1,1,./../primate_robustness_mess/PrimateVisionRobustness/Data/Robustness/Original images/Clean hf source/000204.jpg
56,56,clean,1,clean,0,1,1,./../primate_robustness_mess/PrimateVisionRobustness/Data/Robustness/Original images/Clean hf source/UFH_012.jpg
57,57,clean,1,clean,0,1,1,./../primate_robustness_mess/PrimateVisionRobustness/Data/Robustness/Original images/Clean hf source/000035.jpg
58,58,clean,1,clean,0,1,1,./../primate_robustness_mess/PrimateVisionRobustness/Data/Robustness/Original images/Clean hf source/UFH_179.jpg
59,59,clean,1,clean,0,1,1,./../primate_robustness_mess/PrimateVisionRobustness/Data/Robustness/Original images/Clean hf source/000198.jpg
60,60,clean,1,clean,0,1,1,./../primate_robustness_mess/PrimateVisionRobustness/Data/Robustness/Original images/Clean hf source/000051.jpg
61,61,clean,1,clean,0,1,1,./../primate_robustness_mess/PrimateVisionRobustness/Data/Robustness/Original images/Clean hf source/FH_221.jpg
62,62,clean,1,clean,0,1,1,./../primate_robustness_mess/PrimateVisionRobustness/Data/Robustness/Original images/Clean hf source/zzAberdeen_23.jpg
63,63,clean,1,clean,0,1,1,./../primate_robustness_mess/PrimateVisionRobustness/Data/Robustness/Original images/Clean hf source/backpack_07.jpg
64,64,clean,1,clean,0,1,1,./../primate_robustness_mess/PrimateVisionRobustness/Data/Robustness/Original images/Clean hf source/000155.jpg
65,65,clean,1,clean,0,1,1,./../primate_robustness_mess/PrimateVisionRobustness/Data/Robustness/Original images/Clean hf source/000063.jpg
66,66,clean,1,clean,0,1,1,./../primate_robustness_mess/PrimateVisionRobustness/Data/Robustness/Original images/Clean hf source/UFH_046.jpg
67,67,clean,1,clean,0,1,1,./../primate_robustness_mess/PrimateVisionRobustness/Data/Robustness/Original images/Clean hf source/000015.jpg
68,68,clean,1,clean,0,1,1,./../primate_robustness_mess/PrimateVisionRobustness/Data/Robustness/Original images/Clean hf source/000106.jpg
69,69,clean,1,clean,0,1,1,./../primate_robustness_mess/PrimateVisionRobustness/Data/Robustness/Original images/Clean hf source/000170.jpg
70,70,clean,1,clean,0,1,1,./../primate_robustness_mess/PrimateVisionRobustness/Data/Robustness/Original images/Clean hf source/zzAberdeen_17.jpg
71,71,clean,1,clean,0,1,1,./../primate_robustness_mess/PrimateVisionRobustness/Data/Robustness/Original images/Clean hf source/000208.jpg
72,72,clean,1,clean,0,1,1,./../primate_robustness_mess/PrimateVisionRobustness/Data/Robustness/Original images/Clean hf source/000201.jpg
73,73,clean,1,clean,0,1,1,./../primate_robustness_mess/PrimateVisionRobustness/Data/Robustness/Original images/Clean hf source/humanfaces_14.jpg
74,74,clean,1,clean,0,1,1,./../primate_robustness_mess/PrimateVisionRobustness/Data/Robustness/Original images/Clean hf source/000062.jpg
75,75,clean,1,clean,0,1,1,./../primate_robustness_mess/PrimateVisionRobustness/Data/Robustness/Original images/Clean hf source/000048.jpg
76,76,clean,1,clean,0,1,1,./../primate_robustness_mess/PrimateVisionRobustness/Data/Robustness/Original images/Clean hf source/000023.jpg
77,77,clean,1,clean,0,1,1,./../primate_robustness_mess/PrimateVisionRobustness/Data/Robustness/Original images/Clean hf source/magazinecovers_01.jpg
78,78,clean,1,clean,0,1,1,./../primate_robustness_mess/PrimateVisionRobustness/Data/Robustness/Original images/Clean hf source/UFH_044.jpg
79,79,clean,1,clean,0,1,1,./../primate_robustness_mess/PrimateVisionRobustness/Data/Robustness/Original images/Clean hf source/UFH_170.jpg
80,80,clean,1,clean,0,1,1,./../primate_robustness_mess/PrimateVisionRobustness/Data/Robustness/Original images/Clean hf source/000097.jpg
81,81,clean,1,clean,0,1,1,./../primate_robustness_mess/PrimateVisionRobustness/Data/Robustness/Original images/Clean hf source/000180.jpg
82,82,clean,1,clean,0,1,1,./../primate_robustness_mess/PrimateVisionRobustness/Data/Robustness/Original images/Clean hf source/000040.jpg
83,83,clean,1,clean,0,1,1,./../primate_robustness_mess/PrimateVisionRobustness/Data/Robustness/Original images/Clean hf source/000038.jpg
84,84,clean,1,clean,0,1,1,./../primate_robustness_mess/PrimateVisionRobustness/Data/Robustness/Original images/Clean hf source/000055.jpg
85,85,clean,1,clean,0,1,1,./../primate_robustness_mess/PrimateVisionRobustness/Data/Robustness/Original images/Clean hf source/000095.jpg
86,86,clean,1,clean,0,1,1,./../primate_robustness_mess/PrimateVisionRobustness/Data/Robustness/Original images/Clean hf source/zzAberdeen_06.jpg
87,87,clean,1,clean,0,1,1,./../primate_robustness_mess/PrimateVisionRobustness/Data/Robustness/Original images/Clean hf source/people_12.jpg
88,88,clean,1,clean,0,1,1,./../primate_robustness_mess/PrimateVisionRobustness/Data/Robustness/Original images/Clean hf source/000192.jpg
89,89,clean,1,clean,0,1,1,./../primate_robustness_mess/PrimateVisionRobustness/Data/Robustness/Original images/Clean hf source/zzAberdeen_21.jpg
90,90,clean,1,clean,0,1,1,./../primate_robustness_mess/PrimateVisionRobustness/Data/Robustness/Original images/Clean hf source/humanfaces_13.jpg
91,91,clean,1,clean,0,1,1,./../primate_robustness_mess/PrimateVisionRobustness/Data/Robustness/Original images/Clean hf source/UFH_008.jpg
92,92,clean,1,clean,0,1,1,./../primate_robustness_mess/PrimateVisionRobustness/Data/Robustness/Original images/Clean hf source/zzAberdeen_16.jpg
93,93,clean,1,clean,0,1,1,./../primate_robustness_mess/PrimateVisionRobustness/Data/Robustness/Original images/Clean hf source/000132.jpg
94,94,clean,1,clean,0,1,1,./../primate_robustness_mess/PrimateVisionRobustness/Data/Robustness/Original images/Clean hf source/000151.jpg
95,95,clean,1,clean,0,1,1,./../primate_robustness_mess/PrimateVisionRobustness/Data/Robustness/Original images/Clean hf source/000147.jpg
96,96,clean,1,clean,0,1,1,./../primate_robustness_mess/PrimateVisionRobustness/Data/Robustness/Original images/Clean hf source/UFH_024.jpg
97,97,clean,1,clean,0,1,1,./../primate_robustness_mess/PrimateVisionRobustness/Data/Robustness/Original images/Clean hf source/humanfaces_18.jpg
98,98,clean,1,clean,0,1,1,./../primate_robustness_mess/PrimateVisionRobustness/Data/Robustness/Original images/Clean hf source/UFH_038.jpg
99,99,clean,1,clean,0,1,1,./../primate_robustness_mess/PrimateVisionRobustness/Data/Robustness/Original images/Clean hf source/000210.jpg
100,100,clean,1,clean,0,1,1,./../primate_robustness_mess/PrimateVisionRobustness/Data/Robustness/Original images/Clean hf source/people_09.jpg
101,101,clean,1,clean,0,1,1,./../primate_robustness_mess/PrimateVisionRobustness/Data/Robustness/Original images/Clean hf source/000104.jpg
102,102,clean,1,clean,0,1,1,./../primate_robustness_mess/PrimateVisionRobustness/Data/Robustness/Original images/Clean hf source/000105.jpg
103,103,clean,1,clean,0,1,1,./../primate_robustness_mess/PrimateVisionRobustness/Data/Robustness/Original images/Clean hf source/000113.jpg
104,104,clean,1,clean,0,1,1,./../primate_robustness_mess/PrimateVisionRobustness/Data/Robustness/Original images/Clean hf source/000013.jpg
105,105,clean,1,clean,0,1,1,./../primate_robustness_mess/PrimateVisionRobustness/Data/Robustness/Original images/Clean hf source/000014.jpg
106,106,clean,1,clean,0,1,1,./../primate_robustness_mess/PrimateVisionRobustness/Data/Robustness/Original images/Clean hf source/000005.jpg
107,107,clean,1,clean,0,1,1,./../primate_robustness_mess/PrimateVisionRobustness/Data/Robustness/Original images/Clean hf source/000026.jpg
108,108,clean,1,clean,0,1,1,./../primate_robustness_mess/PrimateVisionRobustness/Data/Robustness/Original images/Clean hf source/000117.jpg
109,109,clean,1,clean,0,1,1,./../primate_robustness_mess/PrimateVisionRobustness/Data/Robustness/Original images/Clean hf source/000031.jpg
110,110,clean,1,clean,0,1,1,./../primate_robustness_mess/PrimateVisionRobustness/Data/Robustness/Original images/Clean hf source/zzAberdeen_14.jpg
111,111,clean,1,clean,0,1,1,./../primate_robustness_mess/PrimateVisionRobustness/Data/Robustness/Original images/Clean hf source/zzAberdeen_33.jpg
112,112,clean,1,clean,0,1,1,./../primate_robustness_mess/PrimateVisionRobustness/Data/Robustness/Original images/Clean hf source/zzAberdeen_29.jpg
113,113,clean,1,clean,0,1,1,./../primate_robustness_mess/PrimateVisionRobustness/Data/Robustness/Original images/Clean hf source/000178.jpg
114,114,clean,1,clean,0,1,1,./../primate_robustness_mess/PrimateVisionRobustness/Data/Robustness/Original images/Clean hf source/UFH_120.jpg
115,115,clean,1,clean,0,1,1,./../primate_robustness_mess/PrimateVisionRobustness/Data/Robustness/Original images/Clean hf source/zzAberdeen_02.jpg
116,116,clean,1,clean,0,1,1,./../primate_robustness_mess/PrimateVisionRobustness/Data/Robustness/Original images/Clean hf source/000020.jpg
117,117,clean,1,clean,0,1,1,./../primate_robustness_mess/PrimateVisionRobustness/Data/Robustness/Original images/Clean hf source/000101.jpg
118,118,clean,1,clean,0,1,1,./../primate_robustness_mess/PrimateVisionRobustness/Data/Robustness/Original images/Clean hf source/000200.jpg
119,119,clean,1,clean,0,1,1,./../primate_robustness_mess/PrimateVisionRobustness/Data/Robustness/Original images/Clean hf source/000103.jpg
120,120,clean,1,clean,0,1,1,./../primate_robustness_mess/PrimateVisionRobustness/Data/Robustness/Original images/Clean hf source/000161.jpg
121,121,clean,1,clean,0,1,1,./../primate_robustness_mess/PrimateVisionRobustness/Data/Robustness/Original images/Clean hf source/zzAberdeen_26.jpg
122,122,clean,1,clean,0,1,1,./../primate_robustness_mess/PrimateVisionRobustness/Data/Robustness/Original images/Clean hf source/000116.jpg
123,123,clean,1,clean,0,1,1,./../primate_robustness_mess/PrimateVisionRobustness/Data/Robustness/Original images/Clean hf source/zzAberdeen_32.jpg
124,124,clean,1,clean,0,1,1,./../primate_robustness_mess/PrimateVisionRobustness/Data/Robustness/Original images/Clean hf source/000115.jpg
125,125,clean,1,clean,0,1,1,./../primate_robustness_mess/PrimateVisionRobustness/Data/Robustness/Original images/Clean hf source/000216.jpg
126,126,clean,1,clean,0,1,1,./../primate_robustness_mess/PrimateVisionRobustness/Data/Robustness/Original images/Clean hf source/zzAberdeen_09.jpg
127,127,clean,1,clean,0,1,1,./../primate_robustness_mess/PrimateVisionRobustness/Data/Robustness/Original images/Clean hf source/000172.jpg
128,128,clean,1,clean,0,1,1,./../primate_robustness_mess/PrimateVisionRobustness/Data/Robustness/Original images/Clean hf source/000196.jpg
129,129,clean,1,clean,0,1,1,./../primate_robustness_mess/PrimateVisionRobustness/Data/Robustness/Original images/Clean hf source/UFH_003.jpg
130,130,clean,1,clean,0,1,1,./../primate_robustness_mess/PrimateVisionRobustness/Data/Robustness/Original images/Clean hf source/000024.jpg
131,131,clean,1,clean,0,1,1,./../primate_robustness_mess/PrimateVisionRobustness/Data/Robustness/Original images/Clean hf source/000064.jpg
132,132,clean,1,clean,0,1,1,./../primate_robustness_mess/PrimateVisionRobustness/Data/Robustness/Original images/Clean hf source/zzAberdeen_08.jpg
133,133,clean,1,clean,0,1,1,./../primate_robustness_mess/PrimateVisionRobustness/Data/Robustness/Original images/Clean hf source/000185.jpg
134,134,clean,1,clean,0,1,1,./../primate_robustness_mess/PrimateVisionRobustness/Data/Robustness/Original images/Clean hf source/000019.jpg
135,135,clean,1,clean,0,1,1,./../primate_robustness_mess/PrimateVisionRobustness/Data/Robustness/Original images/Clean hf source/000009.jpg
136,136,clean,1,clean,0,1,1,./../primate_robustness_mess/PrimateVisionRobustness/Data/Robustness/Original images/Clean hf source/000074.jpg
137,137,clean,1,clean,0,1,1,./../primate_robustness_mess/PrimateVisionRobustness/Data/Robustness/Original images/Clean hf source/000017.jpg
138,138,clean,1,clean,0,1,1,./../primate_robustness_mess/PrimateVisionRobustness/Data/Robustness/Original images/Clean hf source/000110.jpg
139,139,clean,1,clean,0,1,1,./../primate_robustness_mess/PrimateVisionRobustness/Data/Robustness/Original images/Clean hf source/000092.jpg
140,140,clean,1,clean,0,1,1,./../primate_robustness_mess/PrimateVisionRobustness/Data/Robustness/Original images/Clean hf source/pokercard_02.jpg
141,141,clean,1,clean,0,1,1,./../primate_robustness_mess/PrimateVisionRobustness/Data/Robustness/Original images/Clean hf source/UFH_123.jpg
142,142,clean,1,clean,0,1,1,./../primate_robustness_mess/PrimateVisionRobustness/Data/Robustness/Original images/Clean hf source/000018.jpg
143,143,clean,1,clean,0,1,1,./../primate_robustness_mess/PrimateVisionRobustness/Data/Robustness/Original images/Clean hf source/000164.jpg
144,144,clean,1,clean,0,1,1,./../primate_robustness_mess/PrimateVisionRobustness/Data/Robustness/Original images/Clean hf source/000109.jpg
145,145,clean,1,clean,0,1,1,./../primate_robustness_mess/PrimateVisionRobustness/Data/Robustness/Original images/Clean hf source/zzAberdeen_31.jpg
146,146,clean,1,clean,0,1,1,./../primate_robustness_mess/PrimateVisionRobustness/Data/Robustness/Original images/Clean hf source/000190.jpg
147,147,clean,1,clean,0,1,1,./../primate_robustness_mess/PrimateVisionRobustness/Data/Robustness/Original images/Clean hf source/000082.jpg
148,148,clean,1,clean,0,1,1,./../primate_robustness_mess/PrimateVisionRobustness/Data/Robustness/Original images/Clean hf source/000211.jpg
149,149,clean,1,clean,0,1,1,./../primate_robustness_mess/PrimateVisionRobustness/Data/Robustness/Original images/Clean hf source/humanfaces_01.jpg
150,150,clean,1,clean,0,1,1,./../primate_robustness_mess/PrimateVisionRobustness/Data/Robustness/Original images/Clean hf source/UFH_043.jpg
151,151,clean,1,clean,0,1,1,./../primate_robustness_mess/PrimateVisionRobustness/Data/Robustness/Original images/Clean hf source/humanfaces_02.jpg
152,152,clean,1,clean,0,1,1,./../primate_robustness_mess/PrimateVisionRobustness/Data/Robustness/Original images/Clean hf source/000011.jpg
153,153,clean,1,clean,0,1,1,./../primate_robustness_mess/PrimateVisionRobustness/Data/Robustness/Original images/Clean hf source/000043.jpg
154,154,clean,1,clean,0,1,1,./../primate_robustness_mess/PrimateVisionRobustness/Data/Robustness/Original images/Clean hf source/000099.jpg
155,155,clean,1,clean,0,1,1,./../primate_robustness_mess/PrimateVisionRobustness/Data/Robustness/Original images/Clean hf source/UFH_160.jpg
156,156,clean,1,clean,0,1,1,./../primate_robustness_mess/PrimateVisionRobustness/Data/Robustness/Original images/Clean hf source/000044.jpg
157,157,clean,1,clean,0,1,1,./../primate_robustness_mess/PrimateVisionRobustness/Data/Robustness/Original images/Clean hf source/000214.jpg
158,158,clean,1,clean,0,1,1,./../primate_robustness_mess/PrimateVisionRobustness/Data/Robustness/Original images/Clean hf source/UFH_177.jpg
159,159,clean,1,clean,0,1,1,./../primate_robustness_mess/PrimateVisionRobustness/Data/Robustness/Original images/Clean hf source/FH_266.jpg
160,160,clean,1,clean,0,1,1,./../primate_robustness_mess/PrimateVisionRobustness/Data/Robustness/Original images/Clean hf source/UFH_096.jpg
161,161,clean,1,clean,0,1,1,./../primate_robustness_mess/PrimateVisionRobustness/Data/Robustness/Original images/Clean hf source/000080.jpg
162,162,clean,1,clean,0,1,1,./../primate_robustness_mess/PrimateVisionRobustness/Data/Robustness/Original images/Clean hf source/UFH_033.jpg
163,163,clean,1,clean,0,1,1,./../primate_robustness_mess/PrimateVisionRobustness/Data/Robustness/Original images/Clean hf source/000008.jpg
164,164,clean,1,clean,0,1,1,./../primate_robustness_mess/PrimateVisionRobustness/Data/Robustness/Original images/Clean hf source/UFH_156.jpg
165,165,clean,1,clean,0,1,1,./../primate_robustness_mess/PrimateVisionRobustness/Data/Robustness/Original images/Clean hf source/000182.jpg
166,166,clean,1,clean,0,1,1,./../primate_robustness_mess/PrimateVisionRobustness/Data/Robustness/Original images/Clean hf source/000094.jpg
167,167,clean,1,clean,0,1,1,./../primate_robustness_mess/PrimateVisionRobustness/Data/Robustness/Original images/Clean hf source/000083.jpg
168,168,clean,1,clean,0,1,1,./../primate_robustness_mess/PrimateVisionRobustness/Data/Robustness/Original images/Clean hf source/000089.jpg
169,169,clean,1,clean,0,1,1,./../primate_robustness_mess/PrimateVisionRobustness/Data/Robustness/Original images/Clean hf source/000163.jpg
170,170,clean,1,clean,0,1,1,./../primate_robustness_mess/PrimateVisionRobustness/Data/Robustness/Original images/Clean hf source/UFH_165.jpg
171,171,clean,1,clean,0,1,1,./../primate_robustness_mess/PrimateVisionRobustness/Data/Robustness/Original images/Clean hf source/000065.jpg
